char,codepoint,script,species_occurrences,technique_occurrences,total_occurrences,examples
渾,U+6E3E,Han,0,1,1,technique:287:渾沌亜空虚（こんとんあくうきょ）
湯,U+6E6F,Han,0,1,1,technique:2435:癒しの湯
溶,U+6EB6,Han,0,1,1,technique:91:粘溶液（ねんようえき）
滄,U+6EC4,Han,0,1,1,technique:192:鹹海炸滄陣（かんかいさくそうじん）
漸,U+6F38,Han,0,1,1,technique:1542:獅子羅王漸（ししらおうざん）
潮,U+6F6E,Han,0,1,1,technique:390:潮流旋禍（ちょうりゅうせんか）
瀑,U+7011,Han,0,1,1,technique:394:瀑閃（ばくせん）
瀬,U+702C,Han,0,1,1,technique:179:初瀬のおもてなし
灰,U+7070,Han,0,1,1,technique:661:灰迅雷瞳（かいじんらいどう）
灸,U+7078,Han,0,1,1,technique:2112:怒気怒鬼怒灸（ドキドキドキューン）
灼,U+707C,Han,0,1,1,technique:63:魔祓灼光（まふつのしゃっこう）
炮,U+70AE,Han,0,1,1,technique:395:魚流炮（ぎょりゅうほう）
炸,U+70B8,Han,0,1,1,technique:192:鹹海炸滄陣（かんかいさくそうじん）
烏,U+70CF,Han,0,1,1,technique:1477:烏王丸（ちょうおうまる）
煉,U+7149,Han,0,1,1,technique:286:咒煉衝刻（じゅれんしょうこく）
煌,U+714C,Han,0,1,1,technique:391:雷煌鞭（らいこうべん）
照,U+7167,Han,0,1,1,technique:51:六合照徹閃（りくごうしょうてつせん）
熊,U+718A,Han,0,1,1,technique:2176:小熊正拳突き
熟,U+719F,Han,1,0,1,species:515:ホエーモン（成熟期）
燕,U+71D5,Han,0,1,1,technique:343:燕（つばくろ）
父,U+7236,Han,0,1,1,technique:1656:地神！神鳴！神馳！親父！（じしん！かみなり！かじ！おやじ！）
片,U+7247,Han,0,1,1,technique:1726:クリスタルの破片
特,U+7279,Han,0,1,1,technique:1546:特攻漢弾（ぶっこみおとこだま）
犬,U+72AC,Han,0,1,1,technique:252:招来・哮天犬
狛,U+72DB,Han,0,1,1,technique:88:豪狛毬（ごうはくきゅう）
独,U+72EC,Han,0,1,1,technique:1789:武舞独繰
献,U+732E,Han,0,1,1,technique:292:献身相（けんしんのそう）
猿,U+733F,Han,0,1,1,technique:96:猿攻回転弾（えんこうかいてんだん）
獲,U+7372,Han,0,1,1,technique:176:武獲物語（たけとりものがたり）
玄,U+7384,Han,0,1,1,technique:404:幽玄（ゆうげん）
玲,U+73B2,Han,0,1,1,technique:680:虞玲刀（ぐれいとう）
玻,U+73BB,Han,0,1,1,technique:52:浄玻璃鏡(じょうはりのかがみ)
珠,U+73E0,Han,0,1,1,technique:87:焔明珠（えんめいしゅ）
現,U+73FE,Han,0,1,1,technique:1892:秘技・夢現影（ひぎ・むげんえい）
理,U+7406,Han,0,1,1,technique:1326:シュバルツ・レールザッツ（黒定理）
琉,U+7409,Han,0,1,1,technique:679:雅琉々砲（がるるほう）
璃,U+7483,Han,0,1,1,technique:52:浄玻璃鏡(じょうはりのかがみ)
瓢,U+74E2,Han,0,1,1,technique:406:魔塵瓢箪（まじんびょうたん）
甕,U+7515,Han,0,1,1,technique:1063:甕布都神（ミカフツノカミ）
生,U+751F,Han,0,1,1,technique:2259:殺生石
用,U+7528,Han,0,1,1,technique:2557:戸締用心(とじまりようじん)
痕,U+75D5,Han,0,1,1,technique:1584:幻刃無痕（げんじんむこん）
癪,U+766A,Han,0,1,1,technique:1056:漢癪ダスト（かんしゃくダスト）
皓,U+7693,Han,0,1,1,technique:203:太陰皓光（たいいんこうこう）
盾,U+76FE,Han,0,1,1,technique:289:盾射轟哀（じゅんせきごうあい）
眉,U+7709,Han,0,1,1,technique:202:蛾眉截波（がびせっぱ）
着,U+7740,Han,0,1,1,technique:154:粘着性の泡
睛,U+775B,Han,0,1,1,technique:54:火眼金睛（かがんきんせい）
瞳,U+77B3,Han,0,1,1,technique:661:灰迅雷瞳（かいじんらいどう）
矢,U+77E2,Han,0,1,1,technique:1718:アウルヴァンディルの矢
砂,U+7802,Han,0,1,1,technique:562:砂かけ
砍,U+780D,Han,0,1,1,technique:189:斬砍双刃撃
碎,U+788E,Han,0,1,1,technique:392:神碎牙（しんさいが）
礫,U+792B,Han,0,1,1,technique:12:氷骸礫(ひょうがいれき)
禁,U+7981,Han,0,1,1,technique:1837:呪禁札（じゅごんさつ）
穢,U+7A62,Han,0,1,1,technique:115:穢吐餓(えとが)
窮,U+7AAE,Han,0,1,1,technique:167:窮牙嵐断襲(きゅうがらんだんしゅう)
笠,U+7B20,Han,0,1,1,technique:90:編笠スピン斬り
筆,U+7B46,Han,0,1,1,technique:1858:梵筆閃（ぼんひつせん）
箪,U+7BAA,Han,0,1,1,technique:406:魔塵瓢箪（まじんびょうたん）
籠,U+7C60,Han,0,1,1,technique:388:孤籠泡（ころうほう）
糸,U+7CF8,Han,0,1,1,technique:1610:霊光蜘蛛之糸（れいこうくものいと）
紐,U+7D10,Han,0,1,1,technique:168:絡縛藻紐（らくばくそうちゅう）
紫,U+7D2B,Han,1,0,1,species:1245:エレキモン（紫）
結,U+7D50,Han,0,1,1,technique:389:冰乱結突（ひょうらんけっとつ）
絡,U+7D61,Han,0,1,1,technique:168:絡縛藻紐（らくばくそうちゅう）
絲,U+7D72,Han,0,1,1,technique:97:金絲吼（きんしこう）
締,U+7DE0,Han,0,1,1,technique:2557:戸締用心(とじまりようじん)
編,U+7DE8,Han,0,1,1,technique:90:編笠スピン斬り
縁,U+7E01,Han,0,1,1,technique:48:魔縁斬蹴撃（まえんざんしゅうげき）
縦,U+7E26,Han,0,1,1,technique:1819:縦横車（じゅうおうぐるま）
縮,U+7E2E,Han,0,1,1,technique:2255:伸縮性のある泡
纏,U+7E8F,Han,0,1,1,technique:193:蒼纏龍神牙（そうてんりゅうじんが）
罪,U+7F6A,Han,0,1,1,technique:1042:鉄拳断罪
翼,U+7FFC,Han,0,1,1,technique:1472:無双天翔翼之陣（むそうてんしょうよくのじん）
肉,U+8089,Han,0,1,1,technique:1991:肉球パンチ
胎,U+80CE,Han,0,1,1,technique:987:胎蔵界曼荼羅（たいぞうかいまんだら）
腐,U+8150,Han,0,1,1,technique:1150:腐毒爪
臥,U+81E5,Han,0,1,1,technique:2481:臥龍扇
自,U+81EA,Han,0,1,1,technique:1728:自己修復
舎,U+820E,Han,0,1,1,technique:344:舎利弗（しゃりほつ）
色,U+8272,Han,0,1,1,technique:2219:原色の舞い
艶,U+8276,Han,0,1,1,technique:178:骸繰艶舞・鉢かづき
芯,U+82AF,Han,0,1,1,technique:1583:魂魄芯撃（こんぱくしんげき）
苦,U+82E6,Han,0,1,1,technique:1996:苦無羽（くないばね）
草,U+8349,Han,0,1,1,technique:1435:草薙
菊,U+83CA,Han,0,1,1,technique:547:菊燐一閃・號雷斬（きくりんいっせん・ごうらいざん）
蔵,U+8535,Han,0,1,1,technique:987:胎蔵界曼荼羅（たいぞうかいまんだら）
薙,U+8599,Han,0,1,1,technique:1435:草薙
薬,U+85AC,Han,0,1,1,technique:1640:ルーインブラスト(破滅の爆薬)
藻,U+85FB,Han,0,1,1,technique:168:絡縛藻紐（らくばくそうちゅう）
虞,U+865E,Han,0,1,1,technique:680:虞玲刀（ぐれいとう）
號,U+865F,Han,0,1,1,technique:547:菊燐一閃・號雷斬（きくりんいっせん・ごうらいざん）
蛟,U+86DF,Han,0,1,1,technique:95:蛟牙（こうが）
蛾,U+86FE,Han,0,1,1,technique:202:蛾眉截波（がびせっぱ）
螺,U+87BA,Han,0,1,1,technique:337:伍重螺旋断（ごじゅうらせんだち）
血,U+8840,Han,0,1,1,technique:1849:打々々魅飲血（だだだみんち）
術,U+8853,Han,0,1,1,technique:1389:クグツの術
裁,U+88C1,Han,0,1,1,technique:1655:鉄拳制裁
裂,U+88C2,Han,0,1,1,technique:1968:駆駆裂空斬（くるくるれっくうざん）
装,U+88C5,Han,0,1,1,technique:359:3連装砲
襲,U+8972,Han,0,1,1,technique:167:窮牙嵐断襲(きゅうがらんだんしゅう)
親,U+89AA,Han,0,1,1,technique:1656:地神！神鳴！神馳！親父！（じしん！かみなり！かじ！おやじ！）
觔,U+89D4,Han,0,1,1,technique:1895:觔斗雲（きんとうん）
言,U+8A00,Han,0,1,1,technique:1611:怠条真言（たいじょうしんごん）
評,U+8A55,Han,0,1,1,technique:2312:最悪の評価
誕,U+8A95,Han,0,1,1,technique:53:閻羅王降誕（えんらおうごうたん）
語,U+8A9E,Han,0,1,1,technique:176:武獲物語（たけとりものがたり）
謐,U+8B10,Han,0,1,1,technique:548:刀華静謐（とうかせいひつ）
護,U+8B77,Han,0,1,1,technique:1544:護王流伝羅守（ごーるでんらっしゅ）
豚,U+8C5A,Han,0,1,1,technique:1850:豚ノ丸焼（ぶたのまるやき）
貪,U+8CAA,Han,0,1,1,technique:114:九淵貪角(きゅうえんどんかく)
路,U+8DEF,Han,0,1,1,technique:1609:悟遍路掌（さとりへんろしょう）
踊,U+8E0A,Han,0,1,1,technique:1377:マシンガン・ダンス（機銃の踊り）
踵,U+8E35,Han,0,1,1,technique:657:雷撃踵（らいげきしょう）
蹄,U+8E44,Han,0,1,1,technique:13:轟蹄崩(ごうていほう)
軍,U+8ECD,Han,0,1,1,technique:1585:呼応冥軍（こおうめいぐん）
轍,U+8F4D,Han,0,1,1,technique:1617:轍剣成敗（てっけんせいばい）
込,U+8FBC,Han,0,1,1,technique:1378:ブロッケイドシード（封じ込めの種）
迎,U+8FCE,Han,0,1,1,technique:177:月夜之迎（つきよのむかえ）
迦,U+8FE6,Han,0,1,1,technique:1001:宇迦之御魂（うかのみたま）
逆,U+9006,Han,0,1,1,technique:2108:逆撃炎弾（ぎゃくげきえんだん）
進,U+9032,Han,0,1,1,technique:64:猛進火達磨（もうしんひだるま）
逸,U+9038,Han,0,1,1,technique:235:万象逸貫
遍,U+904D,Han,0,1,1,technique:1609:悟遍路掌（さとりへんろしょう）
道,U+9053,Han,0,1,1,technique:646:士道一徹（しどういってつ）
都,U+90FD,Han,0,1,1,technique:1063:甕布都神（ミカフツノカミ）
酒,U+9152,Han,0,1,1,technique:1921:酒ブレス
酸,U+9178,Han,0,1,1,technique:727:酸の泡
鉢,U+9262,Han,0,1,1,technique:178:骸繰艶舞・鉢かづき
鎧,U+93A7,Han,0,1,1,technique:1679:黄鎧（おうがい）
鏡,U+93E1,Han,0,1,1,technique:52:浄玻璃鏡(じょうはりのかがみ)
閻,U+95BB,Han,0,1,1,technique:53:閻羅王降誕（えんらおうごうたん）
闇,U+95C7,Han,0,1,1,technique:1473:怒涛闇供喪之舞（どとうやみくものまい）
闘,U+95D8,Han,0,1,1,technique:123:闘魂爪（とうこんそう）
阿,U+963F,Han,0,1,1,technique:1954:阿修羅神拳（あしゅらしんけん）
陰,U+9670,Han,0,1,1,technique:203:太陰皓光（たいいんこうこう）
雅,U+96C5,Han,0,1,1,technique:679:雅琉々砲（がるるほう）
零,U+96F6,Han,0,1,1,technique:1983:絶対零度パンチ
霞,U+971E,Han,0,1,1,technique:1245:霞隠
面,U+9762,Han,0,1,1,technique:293:九種九面撃（きゅうしゅきゅうめんげき）
鞭,U+97AD,Han,0,1,1,technique:391:雷煌鞭（らいこうべん）
音,U+97F3,Han,0,1,1,technique:1184:ドンドコ音頭
響,U+97FF,Han,0,1,1,technique:662:響香水月（きょうかすいげつ）
顕,U+9855,Han,0,1,1,technique:236:天眼顕聖
颪,U+98AA,Han,0,1,1,technique:166:刃羽颪(じんばおろし)
飛,U+98DB,Han,0,1,1,technique:77:秘剣・飛鳥落とし
飢,U+98E2,Han,0,1,1,technique:116:饕飢爆（とうきばく）
飲,U+98F2,Han,0,1,1,technique:1849:打々々魅飲血（だだだみんち）
餓,U+9913,Han,0,1,1,technique:115:穢吐餓(えとが)
饕,U+9955,Han,0,1,1,technique:116:饕飢爆（とうきばく）
首,U+9996,Han,0,1,1,technique:1620:打首獄門
香,U+9999,Han,0,1,1,technique:662:響香水月（きょうかすいげつ）
馬,U+99AC,Han,1,0,1,species:568:スカルナイトモン：騎馬モード
馳,U+99B3,Han,0,1,1,technique:1656:地神！神鳴！神馳！親父！（じしん！かみなり！かじ！おやじ！）
騎,U+9A0E,Han,1,0,1,species:568:スカルナイトモン：騎馬モード
髏,U+9ACF,Han,0,1,1,technique:1624:髑髏乱舞（どくろらんぶ)
髑,U+9AD1,Han,0,1,1,technique:1624:髑髏乱舞（どくろらんぶ)
高,U+9AD8,Han,0,1,1,technique:1095:超高速一文字斬り
髪,U+9AEA,Han,0,1,1,technique:2018:怒髪天（どはつてん）
鬧,U+9B27,Han,0,1,1,technique:290:雷鬧（らいどう)
魄,U+9B44,Han,0,1,1,technique:1583:魂魄芯撃（こんぱくしんげき）
魅,U+9B45,Han,0,1,1,technique:1849:打々々魅飲血（だだだみんち）
鳥,U+9CE5,Han,0,1,1,technique:77:秘剣・飛鳥落とし
鷹,U+9DF9,Han,0,1,1,technique:251:鷹尖円舞
鹹,U+9E79,Han,0,1,1,technique:192:鹹海炸滄陣（かんかいさくそうじん）
麁,U+9E81,Han,0,1,1,technique:8:麁正（あらまさ）
黏,U+9ECF,Han,0,1,1,technique:104:黏雲（ねんうん）
７,U+FF17,Other,1,0,1,species:870:イグドラシル＿７Ｄ６
Ｂ,U+FF22,Other,0,1,1,technique:868:ＲＧＢハーブ
Ｃ,U+FF23,Other,0,1,1,technique:2224:ＤＣＤボム
Ｇ,U+FF27,Other,0,1,1,technique:868:ＲＧＢハーブ
Ｊ,U+FF2A,Other,0,1,1,technique:2117:ＤＪシューター
Ｌ,U+FF2C,Other,0,1,1,technique:1713:ＬＯＶＥＹＯＵ
Ｍ,U+FF2D,Other,0,1,1,technique:2223:Ｍ１６アサシン
Ｕ,U+FF35,Other,0,1,1,technique:1713:ＬＯＶＥＹＯＵ
Ｙ,U+FF39,Other,0,1,1,technique:1713:ＬＯＶＥＹＯＵ
Ｚ,U+FF3A,Other,0,1,1,technique:993:ガイアフォースＺＥＲＯ
＿,U+FF3F,Other,1,0,1,species:870:イグドラシル＿７Ｄ６
￥,U+FFE5,Other,0,1,1,technique:1291:￥UE-N
